Instruction,Input,Output
How do I Comparing QoR Data,,"To measure the quality of results (QoR) of the design in the current state and store the quality information in a set of report files, use the create_qor_snapshot command. You can capture the QoR information using different optimization strategies or at different stages of the design and compare the quality of results. The create_qor_snapshot command measures and reports the quality of the design in terms of timing, design rules, area, power, congestion, and so on. It stores the quality information into a set of snapshot files in a directory named snapshot under the current working directory. To store the quality information in a different directory, use the time.snapshot_storage_location application option. The following example generates a QoR snapshot named r1 using zero wire load for timing paths in the snapshot directory: fc_shell> create_qor_snapshot -name r1 -zero_wire_load... No. of scenario = 4 s1 = function s2 = function_min s3 = test s4 = test_min WNS of each timing group: s1 s2 s3 s4 REGIN -0.34 - - - fref_clk0 2.34 3.25 - - pld_clk 0.65 1.65 - - pll_fixed_clk_central 0.61 1.65 - - REGOUT 0.39 0.44 1.18 1.72... Setup WNS: -0.34 0.44 1.02 1.10 -0.34 Setup TNS: -130.82 0.00 0.00 0.00 -130.82 Number of setup violations: 1152 0 0 0 1152 Hold WNS: -0.55 -0.78 -0.30 -1.28 -1.28... Area: 1200539.606 Cell count: 562504 Buf/inv cell count: 145920 Std cell utilization: 0.24... Querying QoR Snapshots To retrieve and report the snapshots created by the create_qor_snapshot command, use the query_qor_snapshot command. The query_qor_snapshot command analyzes the QoR timing reports previously generated and displays the results in HTML format according to the specified filters. In this example, the query_qor_snapshot command analyzes the placeopt snapshot that is stored in the snapshot directory and then reports the timing paths with worst negative slack values between -2.0 ns and -1.0 ns: fc_shell> create_qor_snapshot -name placeopt fc_shell> query_qor_snapshot -name placeopt -filters ""-wns -2.0,-1.0"" Reporting QoR Snapshots To display QoR information and statistics for the current design, use the report_qor command. For example, the following command displays the r1 QoR snapshot that is stored in the snapshot directory: fc_shell> report_qor_snapshot -name r1 -display Removing QoR Snapshots To remove an existing QoR snapshot from the directory specified by the time.snapshot_storage_location application option, use the remove_qor_snapshot command. For example, the following command removes the preroute QoR snapshot that is stored in the snapshot directory: fc_shell> remove_qor_snapshot -name preroute"
How do I Setting Your Baseline Run,,"You can generate a web-based report to view and compare your QoR data with a QORsum report by performing the following steps: 1. (Optional) Configure the QoR data, which is captured and displayed in the subsequent steps, by using the set_qor_data_options command. To specify the most critical power scenarios in your design, use the -leakage_scenario and -dynamic_scenario options. The tool uses the power scenarios you specify to generate the high-level summary of the power QoR in the QORsum report. If you do not specify these options, it uses the active power scenario with the highest total power for both the leakage and dynamic scenario for the power QoR summary. These settings are only used for the power QoR summary. The tool uses the power information of all active power scenarios to capture and report the detailed power information in the QORsum report. To specify the most critical clock name and clock scenario, use the -clock_name and -clock_scenario options. The tool uses the clock name and scenario you specify to generate the high-level summary of the clock QoR in the QORsum report. If you do not specify these options, the tool identifies the most critical clock and uses it for the clock QoR summary. These settings are only used for the clock QoR summary. The tool uses all clocks to generate the detailed clock QoR information in the QORsum report. To specify a name to identify the run in the QORsum report, use the -run_name option. By default, the tool names each run with a number, such as Run1, Run2, and so on. You can use this option to give a more meaningful name to each run. You can also specify the run name by using the -run_names option when you generate the QORsum report by using the compare_qor_data command in step. If you do so, the tool ignores the run name specify by the set_qor_data_options -run_name command. The following example specifies the leakage-power scenario, dynamic-power scenario, clock scenario, and the clock to use for the corresponding summary in the QORsum report: fc_shell> set_qor_data_options \ -leakage_scenario S1 -dynamic_scenario S2 \ -clock_scenario S3 -clock_name sys_clk 2. Collect the QoR data for your report by using the write_qor_data command. The write_qor_data command captures QoR data related to timing, power, runtime, and other metrics. You can run the write_qor_data command multiple times, at each stage of the design flow at which you want to capture QoR data. Use the -label and specify a value to indicate at which stage of the flow you are capturing the data. By default, the write_qor_data command captures data relevant to a placed and optimized design. You can specify the -report_group option with any of the five supported value ( unmapped mapped placed cts routed ) to tune the set of reports being captured, based on the state of the flow where you are capturing the data. For finer-grain control, use the -report_list option to explicitly specify each report you want to generate. The write_qor_data command captures a standard set of QoR data to disk from most of the common tool reports like the report_qor and report_power. If there is additional custom data to capture that is not part of the command collection, use the capture_qor_data command to capture fully custom QoR data or GUI layout images to include in the web-based QORsum report. This can be used to supplement the standard QoR data captured by the write_qor_data command, or to create fully custom QORsum reports. Related commands include define_qor_data_panel that lets you create a new panel in the QORsum report for viewing QoR data, and set_qor_data_metric_properties, that lets you customize the properties of any metric column in any QORsum report panel, so you can control things like the style of coloring, or the thresholds for coloring when comparing data. 3. Generate the QORsum report by using the compare_qor_data command. This command takes the data captured by one or more runs of the write_qor_data command and creates a web-based report for viewing and comparing those results. You must specify the location of the output of each of the write_qor_data runs from the previous step by using -run_locations option. Each path location corresponds to the run result that you want to compare. You can assign a specific name to identify the run in the QORsum report by using the -run_names option. If you do so, the tool ignores the run name specify by using the set_qor_data_options -run_name command. By default, the tool names each run by a number, such as run1, run2, and so on. You can specify the output directory by using the -output option. By default, the tool writes the report to a directory named compare_qor_data. To overwrite exiting output data, use the -force option. By default, the tool does not overwrite existing output data. 4. View the generated QORsum report by using the view_qor_data command. QORsum Report For more information about exploring the comparison data, see the following topics: Setting Your Baseline Run Changing the QoR Display Style Sorting and Filtering the Data Exploring the Detailed Comparison Data"
How do I Changing the QoR Display Style,,"By default, the first row of data is your baseline run against which all other runs are compared. The name of the baseline run is highlighted in gold to mark it as the ""golden,"" or baseline, result. The shading of non-baseline cells indicates the direction and degree by which the data differs from the baseline: Red indicates a degradation compared to the baseline; green indicates an improvement compared to the baseline Lighter shading represents a smaller difference compared to the baseline; darker shading represents a larger difference compared to the baseline To view the delta thresholds corresponding to each shade, hover the cursor over the column headers: To change your baseline run, click the Runs button and select a new run as the baseline from the Baseline Run column, as shown in the following figure: See Also Changing the QoR Display Style Sorting and Filtering the Data Exploring the Detailed Comparison Data"
How do I Sorting and Filtering the Data,,"By default, the comparison tables show the QoR values for all runs. For example, the NVE number for the following run is 2374: To cycle through different display styles of the data, right-click anywhere in the table. You can view the data as a percentage delta against the baseline as an absolute delta against the baseline (shown in For example, as a percentage delta, the NVE number shows 2.7% fewer failing endpoints than the baseline: As an absolute delta, the NVE number shows 65 fewer failing endpoints than the baseline: See Also Sorting and Filtering the Data Exploring the Detailed Comparison Data"
How do I Exploring the Detailed Comparison Data,,"You can sort and filter the run data to reveal patterns in the results and determine the parameters you want to explore further. To sort and filter the data, see the following topics: Sorting the Data Filtering Metrics Filtering Runs Example Analysis See Also Exploring the Detailed Comparison Data Sorting the Data Click any column header to sort the data using that metric. The first click performs an ascending sort, while the second click performs a descending sort. For example, to show the worst TNS numbers at the top of the table and the best TNS numbers at the bottom, click the TNS column header: Click the TNS column header again to show the best TNS numbers at the top and the worst at the bottom: Filtering Metrics To control which metrics are displayed in the table, click the Metrics button and select or deselect the metrics from the Metrics dialog box accordingly. For example, to show only the setup timing, netlist area, and cell counts, select the metrics as shown in Metrics Dialog Box Filtering Runs To control which runs are displayed in the table, click the Runs button and select or deselect the exploration runs accordingly from the Visible Runs (Summary) column. For example, to display only the first four runs in a table, select the runs as shown in Choose Baseline and Visible Runs Dialog Box Example Analysis The following example demonstrates how you might sort and filter your data to narrow down the runs you would like to explore further. Suppose you open the comparison report shown in and set the util60_aspect1%1_layerM9 run as the base run. Comparison Report You could look at your TNS numbers first and sort the data from best TNS to worst TNS, as shown in the following figure: Notice that the best TNS runs have the M9 top layer, and the worst have the M7 top layer. This suggests that restricting the metal layers significantly impacts timing. You could then restrict your analysis to your M9 runs by turning off the visibility of your M7 runs, as shown in the following figure: Now that you have your best TNS runs, you could compare their congestion by sorting the GRCOverflow column to show the worst overflow at the top, as shown in the following figure: Notice that your higher-utilization runs have more congestion than your lower-utilization runs. You could restrict your analysis to your lower-utilization runs by turning off the visibility of your higher-utilization runs as shown in, leaving you with a manageable subset of exploration runs that better meet your timing and congestion goals. Displaying Lower-Utilization Runs"
How do I Reporting Logic Levels in Batch Mode,,"When you launch the QORsum report, the application opens the QOR Summary table, which summarizes high-level timing, power, and congestion metrics for each of your runs. This and other summary views help you sort and filter the data to pinpoint the runs you want to explore further. Detailed table panels provide deeper insight into your data than can be found on the summary tables. For example, a summary table might give a high-level overview of design timing (WNS, TNS, NVE) at each major stage in the flow. A detailed table might show more in-depth path-group based timing information, showing the timing numbers for each separate scenario and path group in the design. This is only one example. There are many detailed table panels in the QORsum report, that shows information like statistics about each library cell instantiated in the design (number of instances, type of cell, total, area), or information about how much wirelength is on each routed metal layer. A detailed table lets you view this information for up to six different datasets at once. A dataset is a set of data captured for a specific run and stage/label in the flow. For example, you might view the route_opt command results for three different runs at once. Or you might view one run, but looking at the progression of results across different stages in the design flow (place_opt, clock_opt, route_opt), as shown in the following figure. Path Group Details The flows are shown side by side as columns under each metric. For example, the WNS column group (and the column group of each metric) shows the same six columns labeled 1, 2, 5, 6, 9, 10. These columns represent the results of each flow, and are given a flow ID number, rather than showing the full flow name, to prevent the columns from being too wide. The first column under each metric is the baseline, and the other five are the test flows being compared to that baseline. A legend is shown above the table with the flow ID number in a gold box (for the baseline) or a blue box (for the test flows), followed by the flow name. You can expand or collapse the legend by clicking the Legend button. You can also see the flow ID numbers in the ""Choose Baseline and Visible Runs"" dialog box, which is opened by clicking the Runs button. The detailed table views can display up to six runs at one time (your baseline run, plus the first five other runs selected in the Choose Baseline and Visible Runs dialog box). To change the runs that are displayed, 1. Click the Runs button to open the Choose Baseline and Visible Runs dialog box. 2. From the Visible Runs (Summary) column, select or deselect the runs accordingly. This selects and deselects those runs from the Visible flows (Detailed) column. Because a detailed table may show hundreds or even thousands of lines of data, it is not possible to view more than six datasets at a time. But if you want to see more details about these metrics across all runs and all flow stages/labels loaded into the QORsum report, there is an alternate view that shows this. This is called the Focused View. It can be accessed either by clicking the Focused View toggle button at the top of the report (see focused view, you can see the results for all runs and all flow stages for a specific row of data from a detailed table. For example, in a path-group based timing detailed table, you might want to focus on the information only for path_group1 in scenarioA. To see this, click on the row in the detailed table for that path group and scenario. The Focused View for it opens. Using the same path-group timing example, the focused view shows one path group at a time. You can change the focus to a different path group by selecting a different scenario or path group name in the drop-down menus at the top of the report. See Focused View Drop-down Menu Filtering the Detailed Data Detailed views offer filters to focus on specific data. Some views have default filters that are shown automatically. For example, the following detailed views have default scenario and path group filters: Path Type Details, Path Group Details, and Logic Level Details. You can modify the default filters by Removing the filter by clicking the X symbol before the filter name Changing the filter value Enable and disable the filter by clicking anywhere on the filter but the X symbol or value field You can also apply custom filters to the detailed data. To create a custom filter, 1. Click the Filter button to display the Add Filter fields, which are shown in the following figure: 2. Define the filter by defining the filter criteria and selecting the datasets to include in the results. To define the filter, select the column and comparison type, and then specify the comparison value. To perform a numeric comparison, select one of the following comparison types:!= <=, or >= and specify a numeric value in the Value field. To perform a string comparison, select the contains comparison type and specify a string value in the Value field. To perform a regular expression comparison, select the regexp comparison type and specify a regular expression in the Value field. To filter based on the available values of the selected column, select the enum comparison type, which populates the Value field with a drop-down menu that contains the available values, and then enable one or more of the displayed values. When a value is enabled, a check mark is displayed before the value. To enable or disable a value, highlight the value by clicking it or navigating to it by using the Up and Down arrows, and then press Enter, which toggles the value status. You can also type a string in the Value field to filter the available values in the drop-down menu. To dismiss selected values, click the X symbol. 3. Apply the filter by clicking the green check mark. For example, to filter the Path Group Details view by displaying the path groups in the func@cworst scenario, define the filter as shown in the following figure:"
How do I Querying Specific Message IDs,,"As an alternative to displaying logic-level histograms in the GUI, you can report logic levels by using the report_logic_levels command on the command line or in a script (batch mode). Note: You must have a mapped design to run logic-level reporting. You can use the command to report logic levels of The entire design or a selected path group All types of paths, including same-clock paths, cross-clock paths, infeasible paths, and multicycle paths in all scenarios The report contains logic distribution and timing information in the summary, logic-level distribution, and logic-level path report sections. By default, buffers and inverters are not reported. To report logic levels, 1. (Optional) Set a specific logic-level threshold other than the default by using the set_analyze_rtl_logic_level_threshold command. By default, the tool derives the logic-level threshold based on the delay values required for the paths. To set a logic-level threshold for the entire design, enter fc_shell> set_analyze_rtl_logic_level_threshold threshold_value To set a logic-level threshold for a specific path group, enter fc_shell> set_analyze_rtl_logic_level_threshold \ -group path_group threshold_value The path group setting overrides the global threshold of the entire design. To reset all threshold values, enter fc_shell> set_analyze_rtl_logic_level_threshold -reset To reset a specific group setting, enter fc_shell> set_analyze_rtl_logic_level_threshold \ -group path_group -reset 2. (Optional) Specify the fields in the summary section of the report by setting the shell.synthesis.logic_level_report_summary_format application option. The default contains five fields: ""group period wns num_paths max_level"". You can specify up to eight fields. For example, fc_shell> set_app_options \ -name shell.synthesis.logic_level_report_summary_format \ -value ""group num_paths max_level min_level avg_level""... 3. (Optional) Specify the fields in the path group section of the report by setting the shell.synthesis.logic_level_report_group_format application option. The default contains five fields: ""slack ll llthreshold startpoint endpoint"". You can specify up to ten fields. For example, fc_shell> set_app_options \ -name shell.synthesis.logic_level_report_group_format \ -value ""slack ll ll_buf_inv clockcycles startclk endclk... 4. Report logic levels by using the report_logic_levels command. The following example generates a logic-level report of the clk_i path group: fc_shell> report_logic_levels -group clk_i"
How do I Clock Gating,,"To query specific information, warning, or error message IDs that occurred during the previous command step, you can use the check_error command. Follow these steps to set up and query the message IDs: 1. Specify the message IDs to query by using the global scope application option, shell.common.check_error_list fc_shell> set_app_options -name shell.common.check_error_list \ -value {DES-001 CMD-005} shell.common.check_error_list {DES-001 CMD-005} 2. Use the link command as an example for the previous command step. fc_shell> link Error: Current block is not defined. (DES-001) 3. Query the specified message IDs that were issued during the link command step by using the check_error command. fc_shell> check_error -verbose {DES-001} The result shows that the DES-001 message ID was issued during the link command step. If none of the specified message IDs was issued, the check_error command returns 0."
How do I Introduction to Clock Gating,,"RTL clock gating is a power optimization feature provided by the Fusion Compiler tool. This is a high-level optimization technique that can save a significant amount of power by adding clock gates to registers that are not always enabled and have synchronous load- enable or explicit feedback loops. The tool gates flip-flops by extracting common enable signals shared by the flip-flops either in the same hierarchy or across hierarchies. This technique greatly reduces dynamic power consumption by reducing the switching activity on the clock inputs to registers and eliminating the multiplexers. It can also result in a smaller chip area. Clock gating occurs by default during the compile_fusion command using specified clock-gating settings. If you do not specify any clock-gating constraints, the default constraints are used. While you cannot disable clock gating, you can use the clock-gating commands in this section to prevent insertion of clock gates in specific blocks or the whole design. The tool identifies preexisting clock-gating cells during the analyze and elaborate commands. The tool inserts one more level of clock-gating cells at the leaf level. For more information, see the following topics: Introduction to Clock Gating Clock-Gating Prerequisite Conditions Setting Up Clock Gating Clock Gating Flows Replacing Clock Gates Controlling Clock-Gate Latencies Controlling the Number of Clock-Gate Levels Merging Clock Gates Setting Clock Gating Transformations Setting Routing Rules for Clock Gates Clock Gating and Multibit Registers Placement-Aware Clock Gating Fanin-Based Sequential Clock Gating Reporting Clock-Gating Results Reporting Clock-Gate Enable Signals Clock Gate Efficiency Reporting Self-Gating Optimization Special Naming and Querying for DFT Wrapper Clock Gates"
How do I Naming Convention for Tool-Inserted Clock Gates,,"Clock gating applies to synchronous load-enable registers, which are flip-flops that share the same clock and synchronous control signals. Synchronous control signals include synchronous load-enable, synchronous set, synchronous reset, and synchronous toggle. Synchronous load-enable registers are represented by a register with a feedback loop that maintains the same logic value through multiple cycles. Clock gating applied to synchronous load enable registers reduces the power needed when reloading the register banks. shows a simple register bank implementation using a multiplexer and feedback loop. Synchronous Load-Enable Register With Multiplexer Flip Flop Mux Control Logic Register Bank EN CLK DATA IN DATA OUT When the synchronous load enable signal (EN) is at logic state 0, the register bank is disabled. In this state, the circuit uses the multiplexer to feed the Q output of each storage element in the register bank back to the D input. When the EN signal is at logic state 1, the register is enabled, allowing new values to load at the D input. These feedback loops can unnecessarily use power. For example, if the same value is reloaded in the register throughout multiple clock cycles (EN equals 0), the register bank and its clock net consume power while values in the register bank do not change. The multiplexer also consumes power. Clock gating eliminates the feedback net and multiplexer shown in by inserting a gate in the clock net of the register. Note: While applying the clock-gating techniques, the tool considers generated clocks similar to defined clocks. The clock-gating cell selectively prevents clock edges, thus preventing the gated-clock signal from clocking the gated register. shows a latch-based clock-gating cell and the waveforms of the signals are shown with respect to the clock signal, CLK. Latch-Based Clock Gating Flip Flop Control Logic Register Bank Latch CLK ENCLK ENL EN CLK DATA IN DATA OUT CLK CLK EN ENL ENCLK The clock input to the register bank, ENCLK, is gated on or off by the AND gate. ENL is the enabling signal that controls the gating; it derives from the EN signal on the multiplexer shown in. The register bank is triggered by the rising edge of the ENCLK signal. The latch prevents glitches on the EN signal from propagating to the register's clock pin. When the CLK input of the 2-input AND gate is at logic state 1, any glitching of the EN signal could, without the latch, propagate and corrupt the register clock signal. The latch eliminates this possibility because it blocks signal changes when the clock is at logic 1. In latch-based clock gating, the AND gate blocks unnecessary clock pulses by maintaining the clock signal's value after the trailing edge. For example, for flip-flops inferred by HDL constructs of rising-edge clocks, the clock gate forces the gated clock to 0 after the falling edge of the clock. By controlling the clock signal for the register bank, you can eliminate the need for reloading the same value in the register through multiple clock cycles. Clock gating inserts clock-gating circuitry into the register bank's clock network, creating the control to eliminate unnecessary register activity. Clock gating does the following: Reduces clock network power dissipation Relaxes datapath timing Reduces congestion by eliminating feedback multiplexer loops For designs that have large register banks, clock gating can save power and area by reducing the number of gates in the design. However, for smaller register banks, the overhead of adding logic to the clock tree might not compare favorably to the power saved by eliminating a few feedback nets and multiplexers."
How do I Clock Gating in the Compile Log File,,"Clock gates inserted by the Fusion Compiler tool use a naming convention that is consistent between runs. The naming convention is as follows: prefix_base-name[_index] The prefix is clock_gate by default. To change the prefix, set the compile.clockgate.clock_gate_name_prefix application option. The base name is the most frequent instance name among the registers gated by the clock gate. The base name does not include bus bit indexes. If necessary to resolve a naming conflict between clock gates, the tool adds an underscore separator character and an integer index number beginning with 0. For example, if the tool inserts a clock gate that gates a register named out_reg, the clock gate is named clock_gate_out_reg. If the tool inserts a second clock gate for a register named out_reg (perhaps on a different bit in the same bus), the clock gate is named clock_gate_out_reg_0. However, if the tool inserts a clock gate for a register named out_reg_1, the inserted clock gate is named clock_gate_out_reg_1_0 to avoid conflicts with the names of clock gates related to the out_reg register."
How do I Clock-Gate Levels and Stages,,"The compile log file contains information about clock gating, which can help you debug simple setup issues. By default, the clock-gating information is displayed after Clock-gate insertion n the initial_map stage Clock-gate restructuring in the logic_opto stage Clock-gate restructuring in the initial_opto stage Self-gating insertion in the initial_opto stage, if enabled The reported information includes the following: The number of preexisting clock gates that have a dont_touch attribute, which prevents optimization and might lead to unsatistactory results The number of clock-gating library cells that have a CTS purpose, which is required for insertion Clock-gating metrics such as the number of elements and the number of gated registers A summary of reasons for registers that could not be gated If the self-gating or fanin-based sequential clock gating features are enabled, their metrics are displayed separately. An example of the compile log for a run that includes self-gating is as follows: Number of Pre-Exsting Clock Gates with dont_touch Attribute: 0 Number of ICG library cells with CTS purpose: 12 Tool Gated Register Summary Clock Gating Type | Number of Clock Gates | Register Count | Bitwidth | | | Equivalent Regular Clock Gating | 1 | 2 | 2 Self Gating | 0 | 0 | 0 Regular Clock Gating Ungated Register Summary Ungated Reason | Count | Bitwidth Enable is Constant One | 2 | 2 Self Gating Ungated Register Summary Ungated Reason | Count | Bitwidth Register is clock gated, and ineraction | | is set to none | 2 | 2 The tool as not able to find enough registers | | that are compatible to this register | | in order to be gated. | 2 | 2"
How do I Clock-Gating Prerequisite Conditions,,"The tool uses the following definitions for clock-gate levels and stages in clock-gating commands and options: The clock-gate level is related to the fanin of a clock gate. Level 0 refers to a clock source. Level 1 refers to the first clock gate downstream from the clock source. Level 2 refers to a clock gate driven by a clock gate of level 1. Level N refers to a clock gate driven by a clock gate of level N-1. The clock-gate stage is related to the fanout of a clock gate. Stage 0 refers to a register driven by a clock gate. Stage 1 refers to a clock gate that only drives registers directly or across buffers, inverters, or hierarchical transitions. In addition, stage 1 is assigned to clock gates whose stage cannot be determined, such as unloaded clock gates. Stage N refers to a clock gate that drives at least one clock gate of stage N-1, either directly or across buffers, inverters, or hierarchical transitions. The tool keeps a separate count of levels and stages for all clock gates and for tool- inserted clock gates. shows a simple circuit with two preexisting clock gates (P1 and P2) and three tool-inserted clock gates (T1, T2, and T3). Table 23 lists the levels and stages for each of the clock gates. Design With Multiple Clock Gates Table 23 Clock-Gate Levels and Stages Object Type Level (all clock gates) Level (tool-inserted clock gates) Stage (all clock gates) Stage (tool-inserted clock gates)"
How do I Clock-Gating Enable Condition,,"Before gating the clock signal of a register, the Fusion Compiler tool checks to see if certain clock-gating conditions are satisfied. The tool inserts a clock gate only if all the clock-gating conditions are met: The circuit demonstrates synchronous load-enable functionality. The circuit satisfies the setup condition. The register bank or group of register banks satisfies the minimum number of bits you specify with the set_clock_gating_options -minimum_bitwidth command. The default minimum bitwidth is 3. After clock gating is complete, the status of clock-gating conditions for gated and ungated register banks appears in the clock-gating report. For information about the clock-gating report, see Reporting Clock-Gating Results Clock-Gating Conditions The register must satisfy the following conditions for the tool to gate the clock signal of the registers: Enable condition If the register bank's synchronous load-enable signal is a constant logic 1, reducible to logic 1, or logic 0, the condition is false and the circuit is not gated. If the synchronous load-enable signal is not a constant logic 1 or 0, the condition is true and the setup condition is checked. The enable condition is the first condition that the tool checks. For more information, see Clock-Gating Enable Condition Setup condition This condition applies to latch-free clock gating only. The enable signal must come from a register that uses the same clock as the register being gated. The setup condition is checked only if the register satisfies the enable condition. For more information, see Clock-Gating Setup Condition Width condition The width condition is the minimum number of bits for gating registers or groups of registers with equivalent enable signals. The default is 3. You can set the width condition by using the -minimum_bitwidth option of the set_clock_gating_options command. The width condition is checked only if the register satisfies the enable condition and the setup condition."
How do I Clock-Gating Setup Condition,,"The enable condition of a register or clock gate is a combinational function of nets in the design. The enable condition of a register represents the states for which a clock signal must be passed to the register. The enable condition of a clock gate corresponds to the states for which a clock is passed to the registers in the fanout of the clock gate. The tool uses the enable condition of the registers for clock-gate insertion. Enable conditions are represented by Boolean expressions for nets. For example: module TEST (en1, en2, en3, in, clk, dataout); input en1, en2, en3, clk; input [5:0] in; output [5.0] dataout; reg [5.0] dataout; wire enable; assign enable = (en1 | en3) & en2; always @( posedge clk ) begin if( enable ) dataout <= in; else dataout <= dataout; end endmodule In this example, the enable condition for the register bank dataout_reg* can be expressed as en1 en2 + en3 en2."
How do I Setting Up Clock Gating,,"To perform clock gating, the tool requires that the enable signal of the register bank is synchronous with its clock. This is the setup condition. For latch-based or integrated clock gating, the tool can insert clock gating irrespective of the enable signal's and the clock's clock domains. If the enable signal and the register bank reside in different clock domains, you must ensure that the two clock domains are synchronous and that the setup and hold times for the clock-gating cell meet the timing requirements. An exception exists for primary input ports that use a clock specified with the set_input_delay command. In this case, the input port is synchronous with the clock and the setup condition is true."
How do I Setting the Clock-Gating Style,,"The clock gating feature only supports latch-based integrated clock-gating cells. Tool- inserted clock-gating cells do not have a wrapper hierarchy. Clock-gating optimization uses the following defaults: The maximum fanout is infinite. The minimum bitwidth is three. A latch-based precontrol cell for both positive-edge and negative-edge triggered flip- flops is used as a clock-gating cell. If only positive-edge or negative-edge clock-gating cells are available, the tool inserts inverters on both sides of the clock-gating cell. You must load a design and libraries before you can set up clock-gating constraints. To set up clock gating, follow these steps: 1. Load the design and libraries 2. Set the style by using the set_clock_gate_style command 3. Set the options by using the set_clock_gating_options command 4. Specify objects to be included or excluded from clock gating by using the set_clock_gating_objects command 5. Allow other clock-gating cell types for optimization by using the following command: fc_shell> set_lib_cell_purpose -include cts [get_lib_cells...] For more information, see the following topics: Setting the Clock-Gating Style Setting Clock-Gating Options Enabling or Disabling Clock Gating on Design Objects Clock-Gating Enable Source Selection User-Driven Enable Exclusion Report Clock Gating Options"
How do I Setting Clock-Gating Options,,Use the set_clock_gate_style command to select the type of integrated clock-gating cell you want to use. The following options are available: Option Description -test_point none before after Option Description -observation_output true false -target pos_edge_flip_flop neg_edge_flip_flop -objects
How do I Enabling or Disabling Clock Gating on Design Objects,,Use the set_clock_gating_options command to define the netlist structure of the inserted clock-gating cells. The following options are available: Option Description -minimum_bitwidth -max_fanout -objects
How do I Clock-Gating Enable Source Selection,,"You can enable or disable clock gating on certain design objects by overriding all necessary conditions set by the clock-gating style. The set_clock_gating_objects command specifies the design objects on which clock gating should be enabled or disabled during the compile_fusion command. The following example excludes all registers in the subdesign ADDER, except the out1_reg bank. The out1_reg bank is clock gated according to the specified clock-gating style: fc_shell> set_clock_gating_objects -exclude ADDER \ -include ADDER/out1_reg[*] The following example sets and then removes the inclusion and exclusion criteria specified by the -include -exclude, and -clear options: fc_shell> set_clock_gating_objects -include ADDER/out1_reg[*] \ -exclude ADDER/out2_reg[*] fc_shell> set_clock_gating_objects \ -clear {ADDER/out1_reg[*] ADDER/out2_reg[*]}"
How do I User-Driven Enable Exclusion,,"By default, the tool extracts the clock-gating enable condition from one of these sources: Signals connected directly to the synchronous enable pin of the sequential element, as shown in Directly Connected Enable Signal The enable condition on the feedback loops of the input and output data pins of the sequential element, as shown in Enable Signal in a Feedback Loop When using clock gating, you can specify the signal source of the enable logic. The set_clock_gating_objects -enable_source option applies to all objects specified with the -force or -include options in the same command. If you use the -enable_source option, you cannot use the -clear -reset, or -exclude options. The -enable_source option can be one of the following: none enable_pin_only feedback_loop_only both (default) prefer_enable_pin prefer_feedback_loop For example, the following command inserts an always-enabled clock-gating cell: set_clock_gating_objects -force [get_cells u_dfx/input_b_reg*] \ -enable_source none The following command uses the enable signal from the synchronous enable pin, if there is one. Otherwise, the tool uses the enable on the feedback loop of the register. set_clock_gating_objects -include [get_cells u_dfx/input_c_reg*] \ -enable_source prefer_enable_pin"
How do I Report Clock Gating Options,,"The set_clock_gating_enable command provides an interface to specify signals to be excluded from clock-gating enable. The report_clock_gating -ungated command reports a new reason for registers that are not gated due to enable exclusion. The options and syntax of the set_clock_gating_enable command are identical to the corresponding Design Compiler command. Use this command to control the signals to enable clock gating during clock-gate insertion. This command provides a mechanism to specify why a given signal should not be used as an enable condition for clock gating. The syntax of the set_clock_gating_enable command is as follows: status set_clock_gating_enable [-exclude objects_to_exclude] [-undo objects_to_remove_exclusion] The following figure shows a circuit before enable exclusion: In this step, a forward traversal is performed from all user-specified exclusion signals until endpoints (primary output ports, input ports of sequential cells, including clock gating cells, black boxes, and so on) are reached. If the endpoint is a clock-gate-enable pin, then all pins on the path are marked with a temporary design attribute for use in subsequent steps. The following figure shows a circuit after enable exclusion:"
How do I Clock Gating Flows,,"The report_clock_gating_options command reports the clock gating settings used for the current design. The command output includes a table that reports minimum bitwidth and maximum fanout for each relevant object. A parameter to print options set up only for certain objects is also available. The available parameters for the command are as follows: No split: By default, long names are split in multiple lines for easier human reading. Enabling this option makes names print in a single line. Objects: A list of hierarchical objects to query. Ignores the rest of the objects in the design, and displays an error for each non-hierarchical cell passed with CGT-2500 and CGT-2501 warning messages. The output of the report_clock_gating_options command is shown in Output of the report_clock_gating_options Command When no gating options have been set, or when the design has been set only with specific options, the table displays the assigned options in a single row, alongside any other objects that might have been passed through the -objects parameter. shows the report_clock_gating_options command output when no options are set to specific objects. Command Output With no Options set to Specific Objects shows the report_clock_gating_options command output when no options are set to specific objects, but both the design and b0 have been passed as parameters for objects. Command Output With no Specific Object Options but Passed as Parameters When multiple objects are set using the same options, they appear in a single row, with the name column being divided into multiple lines if the -nosplit parameter is not used. Otherwise, everything occupies a single line. report_clock_gating_options -objects {design, obj1, obj2, obj3, obj4} Command Output With the Same Option set to Multiple Objects shows the same scenario as, but with the -nosplit parameter: report_clock_gating_options -objects {design, obj1, obj2, obj3, obj4} -nosplit"
How do I Inserting Clock Gates in Multivoltage Designs,,The Fusion Compiler tool inserts clock-gating cells during the compile_fusion command. The following topics describe clock-gating flows: Inserting Clock Gates in Multivoltage Designs Inserting Clock Gates in an RTL Design
